,Job_URL,Date_Posted,Job_Title,Location
77,https://www.merckgroup.com/en/careers/jobs/270622.html?location=India&state=Maharashtra&city=Mumbai&functionalarea=Commercial,Posted 11 Jan 2024,Brand Executive,"Mumbai, Maharashtra, India"
78,https://www.merckgroup.com/en/careers/jobs/269878.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 11 Jan 2024,Change Expert,"Bonifacio Global City, Metro Manila, Philippines"
79,https://www.merckgroup.com/en/careers/jobs/271117.html?location=India&state=Maharashtra&city=Mumbai&functionalarea=Finance,Posted 11 Jan 2024,Specialist Taxation 1,"Mumbai, Maharashtra, India"
80,https://www.merckgroup.com/en/careers/jobs/269799.html?location=Brazil&state=Sao Paulo&city=Sao Paulo&functionalarea=Commercial,Posted 11 Jan 2024,Market Access Strategy & HEOR Manager,"Sao Paulo, Sao Paulo, Brazil"
81,https://www.merckgroup.com/en/careers/jobs/270914.html?location=United States&state=California&city=Carlsbad&functionalarea=Engineering & Skilled Trade,Posted 10 Jan 2024,Facilities Systems Admin,"Carlsbad, California, United States"
82,https://www.merckgroup.com/en/careers/jobs/270837.html?location=United States&state=Maryland&city=Rockville&functionalarea=Manufacturing,Posted 10 Jan 2024,Associate Scientist 2,"Rockville, Maryland, United States"
83,https://www.merckgroup.com/en/careers/jobs/270872.html?location=United States&state=Maryland&city=Rockville&functionalarea=Manufacturing,Posted 10 Jan 2024,Associate Scientist 1,"Rockville, Maryland, United States"
84,https://www.merckgroup.com/en/careers/jobs/269531.html?location=Hungary&state=Budapest&city=Budapest&functionalarea=Information Technology,Posted 10 Jan 2024,End User Services Specialist,"Budapest, Budapest, Hungary"
85,https://www.merckgroup.com/en/careers/jobs/268562.html?location=Poland&state=Dolnoslaskie&city=Wroclaw&functionalarea=Information Technology,Posted 10 Jan 2024,Senior System Engineer Infrastructure (all genders),"Wroclaw, Dolnoslaskie, Poland"
86,https://www.merckgroup.com/en/careers/jobs/266417.html?location=Belgium&state=Vlaams-Brabant&city=Overijse&functionalarea=Medical Affairs,Posted 10 Jan 2024,Medical Advisor Neuroimmunology,"Overijse, Vlaams-Brabant, Belgium"
87,https://www.merckgroup.com/en/careers/jobs/270844.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 10 Jan 2024,Expert,"Bangalore, Karnataka, India"
88,https://www.merckgroup.com/en/careers/jobs/270620.html?location=United States&state=Wisconsin&city=Sheboygan Falls&functionalarea=Manufacturing,Posted 10 Jan 2024,Manufacturing Operator 1,"Sheboygan Falls, Wisconsin, United States"
89,https://www.merckgroup.com/en/careers/jobs/269660.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Quality,Posted 10 Jan 2024,Senior Audtior - Pharmacovigilance Auditing,"Bangalore, Karnataka, India"
90,https://www.merckgroup.com/en/careers/jobs/270873.html?location=United States&state=Massachusetts&city=Burlington&functionalarea=Strategy & Business Development,Posted 10 Jan 2024,Digital Product Manager,"Burlington, Massachusetts, United States"
91,https://www.merckgroup.com/en/careers/jobs/270983.html?location=United Kingdom&state=West Lothian&city=Livingston&functionalarea=Manufacturing,Posted 10 Jan 2024,Cleanroom Operator,"Livingston, West Lothian, United Kingdom"
92,https://www.merckgroup.com/en/careers/jobs/271017.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 10 Jan 2024,Senior Software Engineer - Labware LIMS with Java,"Bangalore, Karnataka, India"
93,https://www.merckgroup.com/en/careers/jobs/271046.html?location=United Kingdom&state=North Ayrshire&city=Irvine&functionalarea=Manufacturing,Posted 10 Jan 2024,Operations Supervisor,"Irvine, North Ayrshire, United Kingdom"
94,https://www.merckgroup.com/en/careers/jobs/270961.html?location=Switzerland&state=Vaud&city=Corsier-sur-Vevey&functionalarea=Engineering & Skilled Trade,Posted 10 Jan 2024,Project Lead (m/f/d),"Corsier-sur-Vevey, Vaud, Switzerland"
95,https://www.merckgroup.com/en/careers/jobs/270761.html?location=France&state=Pas-de-Calais&city=Calais&functionalarea=Administration & Services,Posted 10 Jan 2024,Ingenieur HSE f/h,"Calais, Pas-de-Calais, France"
96,https://www.merckgroup.com/en/careers/jobs/270909.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 10 Jan 2024,Business Architect Account-to-Report - SAP FICO,"Bangalore, Karnataka, India"
97,https://www.merckgroup.com/en/careers/jobs/271023.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 10 Jan 2024,SAP Solution Manager - CHARM Expert,"Bangalore, Karnataka, India"
98,https://www.merckgroup.com/en/careers/jobs/271001.html?location=Republic of Korea&state=Gyeonggi-do&city=Seongnam-Si&functionalarea=Commercial,Posted 10 Jan 2024,"Thin film Samsung Account Manager (기술영업, 10년 이상)","Seongnam-Si, Gyeonggi-do, Republic of Korea"
99,https://www.merckgroup.com/en/careers/jobs/270893.html?location=China&state=Shanghai&city=Shanghai&functionalarea=Commercial,Posted 10 Jan 2024,地区经理-心血管代谢及内分泌-宁波,"Shanghai, Shanghai, China"
100,https://www.merckgroup.com/en/careers/jobs/270689.html?location=China&state=Beijing&city=Beijing&functionalarea=Medical Affairs,Posted 10 Jan 2024,区域医学顾问,"Beijing, Beijing, China"
101,https://www.merckgroup.com/en/careers/jobs/268760.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 10 Jan 2024,General Ledger Accountant,"Bonifacio Global City, Metro Manila, Philippines"
102,https://www.merckgroup.com/en/careers/jobs/270703.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Procurement,Posted 10 Jan 2024,Procurement Associate - Korean Speaker,"Bonifacio Global City, Metro Manila, Philippines"
103,https://www.merckgroup.com/en/careers/jobs/270472.html?location=Japan&state=Tokyo&city=Tokyo&functionalarea=Medical Affairs,Posted 10 Jan 2024,MSL Oncology / Biopharma (Tokyo),"Tokyo, Tokyo, Japan"
104,https://www.merckgroup.com/en/careers/jobs/270285.html?location=Japan&state=Tokyo&city=Tokyo&functionalarea=Research & Development,Posted 10 Jan 2024,Clinical Trial Supply Manager / Biopharma (Tokyo),"Tokyo, Tokyo, Japan"
105,https://www.merckgroup.com/en/careers/jobs/270969.html?location=United States&state=California&city=Temecula&functionalarea=Research & Development,Posted 09 Jan 2024,Scientist II - Organoid Culture and Characterization,"Temecula, California, United States"
106,https://www.merckgroup.com/en/careers/jobs/270931.html?location=United States&state=North Carolina&city=Charlotte&functionalarea=Quality,Posted 09 Jan 2024,Global Director of Quality - Silica,"Charlotte, North Carolina, United States"
107,https://www.merckgroup.com/en/careers/jobs/269585.html?location=United States&state=Maryland&city=Rockville&functionalarea=Research & Development,Posted 09 Jan 2024,Associate Scientist 3,"Rockville, Maryland, United States"
108,https://www.merckgroup.com/en/careers/jobs/270634.html?location=United States&state=Pennsylvania&city=Philadelphia&functionalarea=Commercial,Posted 09 Jan 2024,"Academic Account Sales Manager, Philadelphia, PA & NJ","Philadelphia, Pennsylvania, United States"
109,https://www.merckgroup.com/en/careers/jobs/270677.html?location=United States&state=Maryland&city=Rockville&functionalarea=Commercial,Posted 09 Jan 2024,"Academic Account Sales Manager, Baltimore Maryland US","Rockville, Maryland, United States"
